Experiment,Accuracy,F1,AUROC
With context (Update 1/2),0.9127,0.9149,0.9771
Context ablation (no knowledge),0.7891111111111111,0.8178852427557091,0.9367471385015244
DeBERTa alone,0.9126666666666666,0.9149166486252436,0.9770558565371685
MC Dropout mean,0.9317777777777778,0.9306528122882313,0.9784433155905314
Calibrated DeBERTa,0.9126666666666666,0.9149166486252436,0.9770547699609484
Simple Average (DeBERTa + MC),0.92,0.9213286713286714,0.9785083126044224
LR meta-classifier (all 4 features),0.9311111111111111,0.9296094459582198,0.9596105789851023
