Model,Accuracy,Precision,Recall,F1,AUROC
Retrieval Similarity (cosine),0.494,0.494,1.0,0.6613119143239625,0.3793936944203916
Zero-Shot NLI (DeBERTa-MNLI),0.6007,0.7266,0.3072,0.4319,0.6453
Fine-Tuned DeBERTa (standard),0.9126666666666666,0.8818864774624374,0.9505173189383715,0.9149166486252436,0.9770558565371685
Fine-Tuned DeBERTa (MC Dropout),0.9317777777777778,0.9346642468239564,0.9266756635177688,0.9306528122882313,0.9784433155905314
Fine-Tuned DeBERTa (Calibrated),0.9126666666666666,0.8818864774624374,0.9505173189383715,0.9149166486252436,0.9770547699609484
DeBERTa on SciFact (cross-dataset),0.33766233766233766,0.33819241982507287,0.9789029535864979,0.5027085590465872,0.40093178621659636
